date, pm25, pm10, o3, no2, so2, co
2/24/2022,85,72,17,36,14,7
2/25/2022,137,78,19,39,15,8
2/26/2022,154,89,23,35,13,8
2/27/2022,172,75,15,37,14,9
2/28/2022,146,63,14,37,13,9
3/1/2022,130,55,15,34,13,9
3/2/2022,110,54,9,30,14,8
3/3/2022,105,35,7,25,12,8
3/4/2022,60,33,5,26,12,8
3/5/2022,60,28,5,22,12,7
3/6/2022,51,30,14,32,12,13
3/7/2022,52,44,19,34,12,9
3/8/2022,84,38,15,34,13,7
3/9/2022,61,31,7,32,13,7
3/10/2022,51,30,7,33,12,8
3/11/2022,50,23,8,21,12,4
3/12/2022,38,22,7,23,12,5
3/13/2022,36,25,7,27,12,8
3/14/2022,41,52,11,35,12,9
3/15/2022,93,40,7,26,12,7
3/16/2022,69,36,8,24,12,9
3/17/2022,61,51,9,29,13,10
3/18/2022,93,34,8,21,12,7
3/19/2022,59,39,7,16,12,4
3/20/2022,64,41,9,21,12,7
3/21/2022,70,40,11,25,12,9
3/22/2022,69,17,9,15,12,4
3/23/2022,32,40,7,24,13,9
3/24/2022,70,38,6,28,12,11
3/25/2022,69,51,19,27,12,9
3/26/2022,94,29,9,21,14,5
3/27/2022,50,36,7,28,13,8
3/28/2022,62,53,3,39,16,12
3/29/2022,99,49,6,31,13,10
3/30/2022,98,28,10,30,13,9
3/31/2022,51,6,18,12,12,3
