date, pm25, pm10, o3, no2, so2, co
2022/4/27, 35, 16, 7, 13, 14, 6
2022/4/28, 32, 24, 7, 16, 15, 11
2022/4/29, 46, 19, 6, 14, 14, 5
2022/4/30, 36, 9, 7, 9, 13, 3
2022/5/1, 16, 12, 9, 14, 13, 4
2022/5/2, 23, 23, 9, 20, 13, 5
2022/5/3, 43, 33, 15, 27, 13, 7
2022/5/4, 66, 37, 14, 31, 13, 8
2022/5/5, 62, 59, 12, 28, 14, 9
2022/5/6, 102, 31, 6, 18, 13, 7
2022/5/7, 49, 25, 6, 14, 13, 6
2022/5/8, 39, 27, 6, 12, 13, 5
2022/5/9, 43, 30, 6, 14, 13, 8
2022/5/10, 46, 44, 8, 21, 14, 10
2022/5/11, 68, 31, 8, 22, 14, 9
2022/5/12, 49, 44, 10, 13, 14, 10
2022/5/13, 67, , , , , 
2022/6/17, 18, 22, 9, 18, 14, 7
2022/6/18, 27, 23, 8, 18, 14, 6
2022/6/19, 30, 28, 8, 21, 14, 6
2022/6/20, 35, 25, 7, 21, 14, 3
2022/6/21, 30, 23, 10, 24, 14, 3
2022/6/22, 31, 29, 11, 28, 14, 7
2022/6/23, 46, 25, 7, 22, 14, 3
2022/6/24, 38, 17, 6, 19, 14, 2
2022/6/25, 23, 21, 7, 21, 14, 2
2022/6/26, 31, 17, 7, 23, 14, 4
2022/6/27, 21, 23, 13, 36, 14, 9
2022/6/28, 32, 29, 16, 28, 14, 6
2022/6/29, 44, 25, 8, 32, 14, 8
2022/6/30, 40, 23, 11, 24, 14, 3
2022/1/3, 179, 98, 13, 42, 12, 14
2022/1/4, 174, 58, 8, 34, 12, 10
2022/1/5, 102, 45, 8, 27, 12, 8
2022/1/6, 74, 51, 12, 33, 13, 8
2022/1/7, 87, 55, 11, 31, 14, 8
2022/1/8, 102, 48, 5, 15, 12, 6
2022/1/9, 90, 41, 4, 13, 11, 7
2022/1/10, 80, 41, 12, 23, 12, 8
2022/1/11, 71, 62, 4, 38, 16, 13
2022/1/12, 119, 58, 6, 23, 13, 7
2022/1/13, 116, 74, 3, 37, 16, 13
2022/1/14, 153, 69, 5, 33, 12, 11
2022/1/15, 144, 61, 6, 28, 12, 11
2022/1/16, 124, 18, 6, 12, 11, 5
2022/1/17, 33, 45, 19, 26, 13, 9
2022/1/18, 78, 53, 17, 29, 14, 8
2022/1/19, 97, 57, 7, 36, 13, 11
2022/1/20, 114, 62, 3, 34, 15, 10
2022/1/21, 131, 56, 4, 30, 12, 12
2022/1/22, 112, 54, 7, 28, 12, 11
2022/1/23, 102, 34, 7, 27, 12, 9
2022/1/24, 59, 29, 7, 22, 11, 9
2022/1/25, 54, 27, 7, 24, 11, 9
2022/1/26, 49, 26, 8, 21, 11, 7
2022/1/27, 47, 28, 10, 21, 11, 6
2022/1/28, 47, 32, 9, 15, 11, 7
2022/1/29, 59, 27, 10, 12, 11, 7
2022/1/30, 51, 20, 12, 8, 11, 5
2022/1/31, 37, 19, 12, 6, 11, 4
2022/2/1, 36, 13, 9, 6, 11, 4
2022/2/2, 25, 18, 14, 8, 11, 4
2022/2/3, 33, 31, 16, 11, 11, 5
2022/2/4, 57, 41, 16, 17, 11, 5
2022/2/5, 79, 51, 13, 18, 11, 7
2022/2/6, 104, 50, 9, 19, 12, 7
2022/2/7, 99, 28, 6, 19, 11, 8
2022/2/8, 58, 11, 5, 12, 11, 6
2022/2/9, 21, 22, 4, 17, 12, 6
2022/2/10, 42, 36, 4, 23, 12, 9
2022/2/11, 70, 28, 4, 15, 12, 7
2022/2/12, 55, 12, 7, 10, 11, 4
2022/2/13, 24, 28, 11, 23, 12, 8
2022/2/14, 54, 48, 7, 26, 15, 8
2022/2/15, 95, 54, 4, 25, 12, 11
2022/2/16, 106, 52, 4, 39, 12, 12
2022/2/17, 101, 33, 4, 29, 12, 11
2022/2/18, 61, 8, 11, 11, 11, 4
2022/2/19, 15, 9, 14, 9, 11, 3
2022/2/20, 17, 14, 13, 12, 11, 4
2022/2/21, 27, 16, 12, 10, 11, 4
2022/2/22, 29, 29, 17, 16, 12, 4
2022/2/23, 52, 49, 19, 23, 13, 5
2022/2/24, 85, 72, 17, 36, 14, 7
2022/2/25, 137, 78, 19, 39, 15, 8
2022/2/26, 154, 89, 23, 35, 13, 8
2022/2/27, 172, 75, 15, 37, 14, 9
2022/2/28, 146, 63, 14, 37, 13, 9
2022/3/1, 130, 55, 15, 34, 13, 9
2022/3/2, 110, 54, 9, 30, 14, 8
2022/3/3, 105, 35, 7, 25, 12, 8
2022/3/4, 60, 33, 5, 26, 12, 8
2022/3/5, 60, 28, 5, 22, 12, 7
2022/3/6, 51, 30, 14, 32, 12, 13
